done,dt_selection,name,n_reviews,sort_by,hl,n_reviews_max,google_id,url
0,2024,Milla Hotel,-1,most_relevant,pt-br,705,0x7354478fe52d735:0xfcbf844cb147d7aa,"https://www.google.com/maps/place/Milla+Hotel/@-17.5309354,-39.7564035,14z/data=!4m8!1m2!2m1!1sMilla+Hotel!3m4!1s0x7354478fe52d735:0xfcbf844cb147d7aa!8m2!3d-17.5309354!4d-39.7564035"
0,2024,Hotel Alles Berg,-1,most_relevant,pt-br,715,0x951eb3b9a3186499:0x34e4539424c7ea7,"https://www.google.com/maps/place/Hotel+Alles+Berg/@-29.374660799999997,-51.1077223,14z/data=!4m8!1m2!2m1!1sHotel+Alles+Berg!3m4!1s0x951eb3b9a3186499:0x34e4539424c7ea7!8m2!3d-29.374660799999997!4d-51.1077223"
0,2024,Bonjour Hotel,-1,most_relevant,pt-br,722,0x9630932128f8f7:0xc8edd41c10644824,"https://www.google.com/maps/place/Bonjour+Hotel/@-22.3924961,-41.779602,14z/data=!4m8!1m2!2m1!1sBonjour+Hotel!3m4!1s0x9630932128f8f7:0xc8edd41c10644824!8m2!3d-22.3924961!4d-41.779602"
0,2024,Bernal Hotel Econômico,-1,most_relevant,pt-br,726,0x94a22e1f815b8d3b:0xf96bef2d6bfb1245,"https://www.google.com/maps/place/Bernal+Hotel+Econ%C3%B4mico/@-18.9666017,-49.466378399999996,14z/data=!4m8!1m2!2m1!1sBernal+Hotel+Econ%C3%B4mico!3m4!1s0x94a22e1f815b8d3b:0xf96bef2d6bfb1245!8m2!3d-18.9666017!4d-49.466378399999996"
0,2024,Hotel Santa Rita,-1,most_relevant,pt-br,728,0x94c8b3566fdd81a3:0x27284d82e685bbe5,"https://www.google.com/maps/place/Hotel+Santa+Rita/@-23.090367,-47.215736199999995,14z/data=!4m8!1m2!2m1!1sHotel+Santa+Rita!3m4!1s0x94c8b3566fdd81a3:0x27284d82e685bbe5!8m2!3d-23.090367!4d-47.215736199999995"
0,2024,Tri Hotel Executive Lajeado,-1,most_relevant,pt-br,731,0x951c616010130ecb:0x96edea62bca95b82,"https://www.google.com/maps/place/Tri+Hotel+Executive+Lajeado/@-29.451012,-51.9648046,14z/data=!4m8!1m2!2m1!1sTri+Hotel+Executive+Lajeado!3m4!1s0x951c616010130ecb:0x96edea62bca95b82!8m2!3d-29.451012!4d-51.9648046"
0,2024,Hotel Itamarati,-1,most_relevant,pt-br,736,0x94bdad5b868fba29:0x2c945cca8846e142,"https://www.google.com/maps/place/Hotel+Itamarati/@-20.8116971,-49.3805494,14z/data=!4m8!1m2!2m1!1sHotel+Itamarati!3m4!1s0x94bdad5b868fba29:0x2c945cca8846e142!8m2!3d-20.8116971!4d-49.3805494"
0,2024,Bello Hotel,-1,most_relevant,pt-br,737,0x94f3958db2b4d709:0xbed3f01c7f58cea7,"https://www.google.com/maps/place/Bello+Hotel/@-24.7208781,-53.7449856,14z/data=!4m8!1m2!2m1!1sBello+Hotel!3m4!1s0x94f3958db2b4d709:0xbed3f01c7f58cea7!8m2!3d-24.7208781!4d-53.7449856"
0,2024,All Inclusive VilaVip Hotel Fazenda,-1,most_relevant,pt-br,744,0x94c91765d51587c7:0x258b1ae0f4c3de73,"https://www.google.com/maps/place/All+Inclusive+VilaVip+Hotel+Fazenda/@-22.5559025,-46.6622147,14z/data=!4m8!1m2!2m1!1sAll+Inclusive+VilaVip+Hotel+Fazenda!3m4!1s0x94c91765d51587c7:0x258b1ae0f4c3de73!8m2!3d-22.5559025!4d-46.6622147"
0,2024,Hotel da Vinci,-1,most_relevant,pt-br,744,0x94c9187a5bf673fd:0x98f92c98f497b2b,"https://www.google.com/maps/place/Hotel+da+Vinci/@-22.6107031,-46.7004342,14z/data=!4m8!1m2!2m1!1sHotel+da+Vinci!3m4!1s0x94c9187a5bf673fd:0x98f92c98f497b2b!8m2!3d-22.6107031!4d-46.7004342"
0,2024,Hotel VIVENDAS Frinape,-1,most_relevant,pt-br,746,0x94e314190a14da61:0x464e56d6e2b47ed3,"https://www.google.com/maps/place/Hotel+VIVENDAS+Frinape/@-27.6563926,-52.2933862,14z/data=!4m8!1m2!2m1!1sHotel+VIVENDAS+Frinape!3m4!1s0x94e314190a14da61:0x464e56d6e2b47ed3!8m2!3d-27.6563926!4d-52.2933862"
0,2024,Reserve Hotel Surubim,-1,most_relevant,pt-br,746,0x7abdb5c04e3f8ad:0x18686ab302423706,"https://www.google.com/maps/place/Reserve+Hotel+Surubim/@-7.8483044,-35.757543,14z/data=!4m8!1m2!2m1!1sReserve+Hotel+Surubim!3m4!1s0x7abdb5c04e3f8ad:0x18686ab302423706!8m2!3d-7.8483044!4d-35.757543"
0,2024,Big Valley Hotel Fazenda,-1,most_relevant,pt-br,754,0x94c92272310a7f83:0x60c571894e9644eb,"https://www.google.com/maps/place/Big+Valley+Hotel+Fazenda/@-22.6577961,-46.718105,14z/data=!4m8!1m2!2m1!1sBig+Valley+Hotel+Fazenda!3m4!1s0x94c92272310a7f83:0x60c571894e9644eb!8m2!3d-22.6577961!4d-46.718105"
0,2024,Hotel Lago Dourado,-1,most_relevant,pt-br,754,0x94f047a2e9c81dd3:0xe5d0bda19ea24e41,"https://www.google.com/maps/place/Hotel+Lago+Dourado/@-25.757229799999998,-53.0691279,14z/data=!4m8!1m2!2m1!1sHotel+Lago+Dourado!3m4!1s0x94f047a2e9c81dd3:0xe5d0bda19ea24e41!8m2!3d-25.757229799999998!4d-53.0691279"
0,2024,Hotel Rodrigues,-1,most_relevant,pt-br,755,0x7070cdf9b8e15d1:0x3bcdc70fb458856,"https://www.google.com/maps/place/Hotel+Rodrigues/@-8.8843643,-36.4814316,14z/data=!4m8!1m2!2m1!1sHotel+Rodrigues!3m4!1s0x7070cdf9b8e15d1:0x3bcdc70fb458856!8m2!3d-8.8843643!4d-36.4814316"
0,2024,Manga Verde Beach Residence,-1,most_relevant,pt-br,756,0x7ab41bf1b64ade3:0x13fb97e4b2d26d1f,"https://www.google.com/maps/place/Manga+Verde+Beach+Residence/@-7.805676,-34.837900399999995,14z/data=!4m8!1m2!2m1!1sManga+Verde+Beach+Residence!3m4!1s0x7ab41bf1b64ade3:0x13fb97e4b2d26d1f!8m2!3d-7.805676!4d-34.837900399999995"
0,2024,Pousada Kambuká,-1,most_relevant,pt-br,761,0xcac3b79edc9591:0xf50c0a2ef30310a4,"https://www.google.com/maps/place/Pousada+Kambuk%C3%A1/@-18.0739324,-39.5403072,14z/data=!4m8!1m2!2m1!1sPousada+Kambuk%C3%A1!3m4!1s0xcac3b79edc9591:0xf50c0a2ef30310a4!8m2!3d-18.0739324!4d-39.5403072"
